Date/time,Syslog priority,Operation,Message code,Protocol,Source IP,Destination IP,Source hostname,Destination hostname,Source port,Destination port,Destination service,Direction,Connections built,Connections torn down
06/Apr/2012 17:40:02,Info,Built,ASA-6-302015,UDP,172.23.0.10,128.8.10.90,(empty),(empty),64048,53,domain,outbound,1,0
06/Apr/2012 17:40:11,Info,Teardown,ASA-6-302014,TCP,172.23.238.72,10.32.5.51,(empty),(empty),49146,6667,6667_tcp,(empty),0,1
06/Apr/2012 17:40:11,Info,Teardown,ASA-6-302014,TCP,172.23.238.71,10.32.5.56,(empty),(empty),49150,6667,6667_tcp,(empty),0,1
06/Apr/2012 17:40:11,Info,Teardown,ASA-6-302014,TCP,172.23.238.75,10.32.5.54,(empty),(empty),49151,6667,6667_tcp,(empty),0,1
06/Apr/2012 17:40:23,Info,Built,ASA-6-302013,TCP,172.23.238.125,10.32.5.57,(empty),(empty),49176,80,http,outbound,1,0
06/Apr/2012 17:40:23,Info,Teardown,ASA-6-302014,TCP,172.23.238.125,10.32.5.57,(empty),(empty),49176,80,http,outbound,0,1
06/Apr/2012 17:40:30,Info,Built,ASA-6-302013,TCP,172.23.238.124,10.32.5.58,(empty),(empty),49177,80,http,outbound,1,0
06/Apr/2012 17:40:30,Info,Teardown,ASA-6-302014,TCP,172.23.238.124,10.32.5.58,(empty),(empty),49177,80,http,outbound,0,1
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.122,10.32.5.56,(empty),(empty),49178,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.126,10.32.5.58,(empty),(empty),49179,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.73,10.32.5.58,(empty),(empty),49180,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.74,10.32.5.50,(empty),(empty),49181,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.123,10.32.5.54,(empty),(empty),49182,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Teardown,ASA-6-302014,TCP,172.23.238.74,10.32.5.50,(empty),(empty),49181,6667,6667_tcp,outbound,0,1
06/Apr/2012 17:40:41,Info,Teardown,ASA-6-302014,TCP,172.23.238.73,10.32.5.58,(empty),(empty),49180,6667,6667_tcp,outbound,0,1
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.71,10.32.5.59,(empty),(empty),49183,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Teardown,ASA-6-302014,TCP,172.23.238.71,10.32.5.59,(empty),(empty),49183,6667,6667_tcp,outbound,0,1
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.72,10.32.5.54,(empty),(empty),49184,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.127,10.32.5.56,(empty),(empty),49186,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Teardown,ASA-6-302014,TCP,172.23.238.72,10.32.5.54,(empty),(empty),49184,6667,6667_tcp,outbound,0,1
06/Apr/2012 17:40:41,Info,Teardown,ASA-6-302014,TCP,172.23.238.127,10.32.5.56,(empty),(empty),49186,6667,6667_tcp,outbound,0,1
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.121,10.32.5.56,(empty),(empty),49185,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Teardown,ASA-6-302014,TCP,172.23.238.121,10.32.5.56,(empty),(empty),49185,6667,6667_tcp,outbound,0,1
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.79,10.32.5.50,(empty),(empty),49187,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.228,10.32.5.56,(empty),(empty),49188,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Teardown,ASA-6-302014,TCP,172.23.238.79,10.32.5.50,(empty),(empty),49187,6667,6667_tcp,outbound,0,1
06/Apr/2012 17:40:41,Info,Teardown,ASA-6-302014,TCP,172.23.238.228,10.32.5.56,(empty),(empty),49188,6667,6667_tcp,outbound,0,1
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.224,10.32.5.59,(empty),(empty),49189,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.124,10.32.5.54,(empty),(empty),49190,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Teardown,ASA-6-302014,TCP,172.23.238.224,10.32.5.59,(empty),(empty),49189,6667,6667_tcp,outbound,0,1
06/Apr/2012 17:40:41,Info,Teardown,ASA-6-302014,TCP,172.23.238.124,10.32.5.54,(empty),(empty),49190,6667,6667_tcp,outbound,0,1
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.78,10.32.5.57,(empty),(empty),49191,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.227,10.32.5.50,(empty),(empty),49192,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Teardown,ASA-6-302014,TCP,172.23.238.227,10.32.5.50,(empty),(empty),49192,6667,6667_tcp,outbound,0,1
06/Apr/2012 17:40:41,Info,Teardown,ASA-6-302014,TCP,172.23.238.78,10.32.5.57,(empty),(empty),49191,6667,6667_tcp,outbound,0,1
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.226,10.32.5.58,(empty),(empty),49193,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.76,10.32.5.52,(empty),(empty),49194,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.223,10.32.5.57,(empty),(empty),49195,6667,6667_tcp,outbound,1,0
06/Apr/2012 17:40:41,Info,Built,ASA-6-302013,TCP,172.23.238.229,10.32.5.51,(empty),(empty),49196,6667,6667_tcp,outbound,1,0
